0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
9.0,19.0,28.0,80.0,12.0,135.0,49.0,107.0,81.0,23.0,41.0,27.0,20.0,18.0,44.0,9.0,26.0,17.0,0.0,5.0,9.0,6.0,5.0,8.0,0.0,3.0,2.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,9.0,14.0,14.0,34.0,4.0,39.0,12.0,19.0,15.0,5.0,2.0,13.0,8.0,7.0,8.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,10.0,20.0,13.0,44.0,4.0,43.0,22.0,17.0,18.0,7.0,3.0,13.0,20.0,3.0,18.0,5.0,13.0,13.0,27.0,37.0,38.0,64.0,20.0,60.0,5.0,24.0,9.0,8.0,4.0,14.0,15.0,2.0,9.0,4.0,3.0,14.0,9.0,61.0,65.0,78.0,129.0,19.0,141.0,71.0,85.0,111.0,8.0,73.0,29.0,8.0,12.0,22.0,17.0,12.0,21.0,4.0,5.0
6.0,7.0,2.0,7.0,6.0,0.0,0.0,0.0,9.0,11.0,9.0,92.0,16.0,201.0,47.0,180.0,95.0,25.0,21.0,85.0,99.0,64.0,130.0,12.0,54.0,47.0,45.0,21.0,109.0,37.0,113.0,92.0,58.0,99.0,9.0,73.0,57.0,75.0,108.0,93.0,152.0,65.0,117.0,25.0,22.0,55.0,152.0,159.0,129.0,238.0,33.0,206.0,183.0,91.0,211.0,10.0,148.0,52.0,69.0,61.0,3.0,64.0,72.0,44.0,99.0,2.0,58.0,24.0,4.0,3.0,29.0,22.0,14.0,21.0,4.0,0.0,3.0,16.0,10.0,13.0,16.0,0.0,7.0,5.0,17.0,13.0,50.0,60.0,49.0,86.0,6.0,50.0,20.0,8.0,4.0,31.0,19.0,15.0,18.0,4.0,0.0,4.0,12.0,4.0,4.0,2.0,6.0,6.0,3.0,8.0,14.0,9.0,29.0,36.0,20.0,42.0,0.0,21.0,7.0,2.0,1.0,10.0,9.0,4.0,7.0
1.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,73.0,85.0,109.0,160.0,65.0,152.0,4.0,61.0,17.0,20.0,15.0,36.0,36.0,11.0,20.0,6.0,6.0,1.0,19.0,11.0,16.0,33.0,18.0,62.0,80.0,67.0,112.0,34.0,79.0,5.0,16.0,9.0,21.0,23.0,20.0,21.0,5.0,4.0,0.0,8.0,3.0,8.0,4.0,0.0,1.0,1.0,21.0,27.0,54.0,81.0,70.0,110.0,51.0,82.0,23.0,24.0,16.0,16.0,21.0,22.0,18.0,11.0,4.0,3.0,7.0,3.0,9.0,3.0,4.0,13.0,5.0,46.0,33.0,64.0,67.0,24.0,57.0,28.0,1.0,27.0,42.0,10.0,29.0,26.0,2.0,9.0,13.0
10.0,3.0,12.0,6.0,1.0,13.0,13.0,23.0,36.0,10.0,35.0,22.0,11.0,18.0,41.0,11.0,11.0,5.0,23.0,26.0,18.0,36.0,3.0,15.0,9.0,7.0,1.0,10.0,1.0,14.0,33.0,44.0,45.0,70.0,10.0,46.0,19.0,9.0,4.0,45.0,34.0,30.0,44.0,5.0,13.0,11.0,11.0,7.0,7.0,0.0,8.0,49.0,55.0,80.0,112.0,45.0,105.0,4.0,40.0,10.0,14.0,13.0,24.0,27.0,5.0,13.0,16.0,17.0,14.0,32.0,8.0,14.0,17.0,12.0,3.0,16.0,26.0,12.0,39.0,47.0,13.0,42.0,16.0,4.0,13.0,19.0,6.0,16.0,16.0,2.0,10.0,9.0,5.0,7.0,14.0,1.0,9.0,0.0,6.0,12.0,13.0,14.0,20.0,7.0,0.0,26.0,31.0,10.0,33.0,14.0,1.0,8.0,26.0,18.0,21.0,30.0,4.0,19.0,1.0,4.0,2.0,6.0,1.0,12.0,1.0
9.0,2.0,2.0,0.0,1.0,6.0,0.0,10.0,4.0,3.0,3.0,22.0,21.0,13.0,15.0,1.0,11.0,5.0,21.0,16.0,7.0,10.0,4.0,3.0,3.0,9.0,3.0,4.0,3.0,1.0,2.0,3.0,0.0,0.0,21.0,21.0,39.0,49.0,20.0,49.0,14.0,23.0,29.0,4.0,28.0,0.0,20.0,0.0,10.0,1.0,2.0,3.0,1.0,4.0,1.0,7.0,9.0,37.0,39.0,48.0,66.0,20.0,53.0,6.0,15.0,4.0,8.0,9.0,14.0,18.0,8.0,17.0,0.0,6.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,0.0,10.0,17.0,30.0,53.0,33.0,75.0,8.0,47.0,1.0,3.0,22.0,22.0,41.0,7.0,29.0,5.0,2.0,1.0,11.0,8.0,7.0,8.0,1.0,5.0,4.0,6.0,4.0,9.0,1.0,12.0,3.0,19.0,18.0,12.0,27.0,6.0,13.0,11.0,6.0,0.0,9.0,10.0,1.0
7.0,4.0,0.0,1.0,4.0,9.0,13.0,39.0,49.0,44.0,78.0,0.0,48.0,33.0,13.0,14.0,39.0,19.0,18.0,23.0,5.0,5.0,8.0,8.0,3.0,4.0,31.0,27.0,50.0,67.0,27.0,67.0,8.0,23.0,12.0,14.0,6.0,18.0,17.0,3.0,9.0,5.0,3.0,1.0,7.0,4.0,3.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,9.0,2.0,3.0,16.0,29.0,13.0,38.0,1.0,26.0,1.0,7.0,4.0,3.0,10.0,2.0,8.0,0.0,1.0,0.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,4.0,22.0,19.0,43.0,55.0,24.0,58.0,7.0,21.0,11.0,10.0
6.0,13.0,16.0,1.0,8.0,5.0,1.0,2.0,4.0,10.0,12.0,40.0,43.0,47.0,69.0,6.0,33.0,19.0,57.0,34.0,110.0,117.0,67.0,124.0,5.0,49.0,23.0,22.0,8.0,34.0,29.0,9.0,17.0,7.0,5.0,2.0,13.0,6.0,5.0,6.0,2.0,0.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,3.0,8.0,1.0,5.0,4.0,1.0,0.0,3.0,5.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,3.0,4.0,11.0,9.0,26.0,1.0,29.0,11.0,12.0,12.0,5.0,1.0,10.0,7.0,7.0,10.0,4.0,9.0,0.0,2.0,2.0,3.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,8.0,8.0,28.0,33.0,26.0,47.0,1.0,16.0,6.0,49.0,47.0,86.0,114.0,51.0
114.0,5.0,46.0,17.0,16.0,10.0,28.0,27.0,8.0,15.0,5.0,4.0,1.0,11.0,6.0,5.0,5.0,1.0,0.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,5.0,8.0,1.0,5.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,13.0,10.0,50.0,65.0,64.0,123.0,9.0,92.0,42.0,6.0,16.0,59.0,35.0,37.0,43.0,1.0,11.0,11.0,14.0,1.0,16.0,5.0,5.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
